Term,Match,Completeness,Ontology,IRI
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47556
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.bioontology.org/ontology/NDFRT/N0000146582
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://www.co-ode.org/ontologies/galen#Hexachlorophene
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://phenomebrowser.net/ontologies/mesh/mesh.owl#D006582
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://phenomebrowser.net/ontologies/mesh/mesh.owl#D02.455.426.559.389.657.190.350
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.bioontology.org/ontology/LNC/MTHU010958
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146582
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl#N0000146582
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/dinto_DB00756
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://phenomebrowser.net/ontologies/mesh/mesh.owl#D02.455.426.559.389.261.190.350
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.bioontology.org/ontology/LNC/LP15630-4
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/OMIT_0007742
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/MESH_D006582
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.bioontology.org/ontology/ATC/D08AE01
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.bioontology.org/ontology/SNOMEDCT/387103004
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.bioontology.org/ontology/NDDF/003176
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.jp/bio/4/id/200906040792295159
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.bioontology.org/ontology/MESH/D006582
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://stirdf.jst.go.jp/id/200907001718833295
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://id.nlm.nih.gov/mesh/D006582
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5693
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5693
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5693
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5693
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5693
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5693
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5693
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5693
hexachlorophene,HEXACHLOROPHENE,Complete,ALL,http://purl.bioontology.org/ontology/RCD/XM0lY
PD-0325901,PD-0325901,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_88249
PD-0325901,PD-0325901,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_88249
PD-0325901,PD-0325901,Complete,ALL,https://go.drugbank.com/drugs/DB07101
PD-0325901,PD-0325901,Complete,ALL,http://purl.bioontology.org/ontology/MESH/C506614
PD-0325901,PD-0325901,Complete,ALL,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52195
PD-0325901,PD-0325901,Complete,ALL,http://purl.bioontology.org/ontology/PDQ/CDR0000456780
isobrucein a,ISOBRUCEIN A,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5987
isobrucein a,ISOBRUCEIN A,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5987
isobrucein a,ISOBRUCEIN A,Complete,ALL,http://purl.obolibrary.org/obo/CHEBI_5987
